_id,Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
1063,202002,G207H,670,"",52,"",20,"",26,"",1,"",5,""
1064,202003,G207H,453,"",60,"",24,"",21,"",15,"",0,""
1065,202006,G207H,38,"",2,"",1,"",1,"",0,"",0,""
1066,202007,G207H,207,"",8,"",1,"",6,"",1,"",0,""
1067,202008,G207H,170,"",15,"",6,"",3,"",6,"",0,""
1068,202009,G207H,286,"",22,"",4,"",16,"",2,"",0,""
1069,202010,G207H,496,"",27,"",3,"",16,"",8,"",0,""
1070,202011,G207H,564,"",46,"",2,"",32,"",11,"",1,""
1071,202012,G207H,502,"",28,"",1,"",19,"",4,"",4,""
1072,202101,G207H,186,"",29,"",3,"",3,"",23,"",0,""
1073,202102,G207H,85,"",6,"",1,"",1,"",3,"",1,""
1074,202103,G207H,253,"",17,"",2,"",9,"",6,"",0,""
1075,202104,G207H,328,"",23,"",7,"",10,"",6,"",0,""
1076,202105,G207H,543,"",33,"",12,"",14,"",3,"",4,""
1077,202106,G207H,535,"",38,"",9,"",16,"",12,"",1,""
1078,202107,G207H,420,"",26,"",7,"",12,"",3,"",4,""
1079,202108,G207H,464,"",38,"",13,"",22,"",2,"",1,""
1080,202109,G207H,86,"",5,"",1,"",4,"",0,"",0,""
1081,202110,G207H,384,"",22,"",3,"",14,"",5,"",0,""
1082,202111,G207H,468,"",34,"",6,"",22,"",3,"",3,""
1083,202112,G207H,467,"",45,"",10,"",12,"",23,"",0,""
1084,202201,G207H,308,"",21,"",4,"",5,"",6,"",6,""
1085,202202,G207H,403,"",18,"",7,"",9,"",1,"",1,""
1086,202203,G207H,409,"",40,"",9,"",18,"",8,"",5,""
1087,202204,G207H,266,"",17,"",6,"",4,"",7,"",0,""
1088,202205,G207H,443,"",36,"",14,"",15,"",3,"",4,""
1089,202206,G207H,427,"",33,"",8,"",11,"",6,"",8,""
1090,202207,G207H,397,"",31,"",8,"",16,"",5,"",2,""
1091,202208,G207H,528,"",37,"",18,"",17,"",2,"",0,""
1092,202209,G207H,543,"",33,"",14,"",15,"",4,"",0,""
1093,202210,G207H,496,"",31,"",9,"",19,"",3,"",0,""
1094,202211,G207H,603,"",48,"",16,"",22,"",3,"",7,""
1095,202212,G207H,486,"",59,"",32,"",18,"",3,"",6,""
1096,201505,G306H,637,"",44,"",24,"",17,"",1,"",2,""
1097,201506,G306H,782,"",51,"",20,"",30,"",0,"",1,""
1098,201507,G306H,621,"",48,"",20,"",23,"",4,"",1,""
1099,201508,G306H,710,"",48,"",22,"",23,"",3,"",0,""
1100,201509,G306H,787,"",68,"",26,"",39,"",1,"",2,""
1101,201510,G306H,865,"",84,"",46,"",35,"",3,"",0,""
1102,201511,G306H,818,"",89,"",39,"",36,"",9,"",5,""
1103,201512,G306H,766,"",71,"",34,"",33,"",0,"",4,""
1104,201601,G306H,761,"",83,"",40,"",39,"",4,"",0,""
1105,201602,G306H,871,"",96,"",40,"",53,"",3,"",0,""
1106,201603,G306H,879,"",93,"",56,"",35,"",1,"",1,""
1107,201604,G306H,735,"",68,"",34,"",31,"",2,"",1,""
1108,201605,G306H,827,"",73,"",37,"",31,"",0,"",5,""
1109,201606,G306H,774,"",69,"",28,"",39,"",1,"",1,""
1110,201607,G306H,649,"",54,"",26,"",27,"",1,"",0,""
1111,201608,G306H,878,"",75,"",42,"",25,"",1,"",7,""
1112,201609,G306H,820,"",95,"",41,"",52,"",1,"",1,""
1113,201610,G306H,803,"",68,"",36,"",31,"",1,"",0,""
1114,201611,G306H,881,"",63,"",24,"",38,"",0,"",1,""
1115,201612,G306H,705,"",58,"",30,"",24,"",4,"",0,""
1116,201701,G306H,779,"",61,"",26,"",29,"",0,"",6,""
1117,201702,G306H,774,"",75,"",30,"",40,"",0,"",5,""
1118,201703,G306H,846,"",60,"",28,"",31,"",1,"",0,""
1119,201704,G306H,627,"",59,"",33,"",25,"",0,"",1,""
1120,201705,G306H,845,"",76,"",32,"",42,"",2,"",0,""
1121,201706,G306H,839,"",68,"",25,"",36,"",1,"",6,""
1122,201707,G306H,618,"",54,"",25,"",24,"",4,"",1,""
1123,201708,G306H,898,"",90,"",43,"",43,"",1,"",3,""
1124,201709,G306H,838,"",73,"",34,"",38,"",1,"",0,""
1125,201710,G306H,805,"",64,"",27,"",37,"",0,"",0,""
1126,201711,G306H,916,"",87,"",23,"",58,"",2,"",4,""
1127,201712,G306H,714,"",97,"",35,"",44,"",15,"",3,""
1128,201801,G306H,849,"",102,"",33,"",67,"",0,"",2,""
1129,201802,G306H,780,"",81,"",31,"",39,"",0,"",11,""
1130,201803,G306H,815,"",110,"",32,"",44,"",1,"",33,""
1131,201804,G306H,711,"",56,"",28,"",26,"",1,"",1,""
1132,201805,G306H,934,"",65,"",34,"",30,"",1,"",0,""
1133,201806,G306H,791,"",79,"",28,"",42,"",2,"",7,""
1134,201807,G306H,694,"",53,"",29,"",23,"",0,"",1,""
1135,201808,G306H,859,"",87,"",37,"",40,"",9,"",1,""
1136,201809,G306H,752,"",73,"",34,"",38,"",1,"",0,""
1137,201810,G306H,870,"",73,"",24,"",42,"",1,"",6,""
1138,201811,G306H,760,"",125,"",23,"",26,"",71,"",5,""
1139,201812,G306H,608,"",47,"",23,"",17,"",2,"",5,""
1140,201901,G306H,769,"",79,"",34,"",40,"",2,"",3,""
1141,201902,G306H,731,"",69,"",30,"",30,"",3,"",6,""
1142,201903,G306H,794,"",72,"",29,"",38,"",1,"",4,""
1143,201904,G306H,712,"",52,"",16,"",31,"",2,"",3,""
1144,201905,G306H,651,"",51,"",22,"",21,"",7,"",1,""
1145,201906,G306H,655,"",40,"",21,"",17,"",1,"",1,""
1146,201907,G306H,749,"",55,"",21,"",28,"",5,"",1,""
1147,201908,G306H,777,"",69,"",37,"",29,"",2,"",1,""
1148,201909,G306H,747,"",58,"",27,"",26,"",5,"",0,""
1149,201910,G306H,839,"",83,"",40,"",42,"",1,"",0,""
1150,201911,G306H,836,"",67,"",35,"",29,"",3,"",0,""
1151,201912,G306H,723,"",74,"",35,"",34,"",1,"",4,""
1152,202001,G306H,807,"",77,"",34,"",31,"",3,"",9,""
1153,202002,G306H,741,"",67,"",32,"",31,"",1,"",3,""
1154,202003,G306H,472,"",51,"",23,"",21,"",0,"",7,""
1155,202007,G306H,282,"",15,"",7,"",8,"",0,"",0,""
1156,202008,G306H,539,"",61,"",25,"",21,"",0,"",15,""
1157,202009,G306H,640,"",41,"",21,"",14,"",6,"",0,""
1158,202010,G306H,657,"",67,"",19,"",38,"",9,"",1,""
1159,202011,G306H,461,"",33,"",14,"",15,"",3,"",1,""
1160,202012,G306H,452,"",36,"",12,"",13,"",11,"",0,""
1161,202101,G306H,147,"",18,"",3,"",12,"",2,"",1,""
1162,202103,G306H,374,"",21,"",5,"",14,"",2,"",0,""
1163,202104,G306H,590,"",36,"",5,"",27,"",4,"",0,""
1164,202105,G306H,648,"",36,"",8,"",21,"",4,"",3,""
1165,202106,G306H,698,"",52,"",13,"",30,"",4,"",5,""
1166,202107,G306H,489,"",27,"",7,"",14,"",3,"",3,""
1167,202108,G306H,590,"",55,"",18,"",22,"",5,"",10,""
1168,202109,G306H,108,"",11,"",4,"",6,"",1,"",0,""
1169,202111,G306H,460,"",35,"",11,"",23,"",1,"",0,""
1170,202112,G306H,473,"",35,"",13,"",16,"",6,"",0,""
1171,202201,G306H,264,"",25,"",7,"",10,"",8,"",0,""
1172,202202,G306H,442,"",30,"",13,"",11,"",5,"",1,""
1173,202203,G306H,342,"",28,"",8,"",14,"",6,"",0,""
1174,202204,G306H,349,"",31,"",7,"",17,"",7,"",0,""
1175,202205,G306H,477,"",40,"",17,"",17,"",4,"",2,""
1176,202206,G306H,624,"",55,"",14,"",23,"",12,"",6,""
1177,202207,G306H,495,"",38,"",17,"",14,"",4,"",3,""
1178,202208,G306H,619,"",51,"",27,"",22,"",2,"",0,""
1179,202209,G306H,723,"",68,"",35,"",27,"",6,"",0,""
1180,202210,G306H,716,"",51,"",24,"",21,"",6,"",0,""
1181,202211,G306H,749,"",51,"",22,"",24,"",4,"",1,""
1182,202212,G306H,611,"",64,"",43,"",17,"",1,"",3,""
1183,201505,G405H,794,"",69,"",15,"",31,"",23,"",0,""
1184,201506,G405H,1152,"",81,"",20,"",41,"",19,"",1,""
1185,201507,G405H,924,"",87,"",32,"",41,"",12,"",2,""
1186,201508,G405H,1042,"",89,"",20,"",51,"",17,"",1,""
1187,201509,G405H,1143,"",90,"",18,"",41,"",30,"",1,""
1188,201510,G405H,1254,"",135,"",17,"",61,"",57,"",0,""
1189,201511,G405H,1249,"",109,"",16,"",50,"",39,"",4,""
1190,201512,G405H,1200,"",93,"",13,"",44,"",36,"",0,""
1191,201601,G405H,1084,"",134,"",7,"",47,"",69,"",11,""
1192,201602,G405H,1201,"",126,"",17,"",57,"",48,"",4,""
1193,201603,G405H,1132,"",125,"",15,"",52,"",58,"",0,""
1194,201604,G405H,1119,"",95,"",14,"",50,"",30,"",1,""
1195,201605,G405H,973,"",91,"",16,"",33,"",40,"",2,""
1196,201606,G405H,1235,"",107,"",23,"",43,"",40,"",1,""
1197,201607,G405H,877,"",69,"",8,"",28,"",30,"",3,""
1198,201608,G405H,1191,"",98,"",19,"",45,"",33,"",1,""
1199,201609,G405H,1180,"",103,"",18,"",41,"",40,"",4,""
1200,201610,G405H,1155,"",92,"",14,"",53,"",25,"",0,""
1201,201611,G405H,1171,"",106,"",6,"",40,"",58,"",2,""
1202,201612,G405H,945,"",77,"",9,"",34,"",33,"",1,""
1203,201701,G405H,925,"",117,"",9,"",35,"",68,"",5,""
1204,201702,G405H,953,"",78,"",18,"",28,"",29,"",3,""
1205,201703,G405H,1206,"",90,"",9,"",45,"",31,"",5,""
1206,201704,G405H,859,"",69,"",14,"",27,"",25,"",3,""
1207,201705,G405H,1113,"",80,"",16,"",41,"",23,"",0,""
1208,201706,G405H,1088,"",75,"",8,"",33,"",33,"",1,""
1209,201707,G405H,912,"",71,"",8,"",35,"",25,"",3,""
1210,201708,G405H,1111,"",84,"",15,"",41,"",26,"",2,""
1211,201709,G405H,981,"",77,"",15,"",41,"",19,"",2,""
1212,201710,G405H,1088,"",86,"",11,"",45,"",30,"",0,""
1213,201711,G405H,1130,"",102,"",14,"",41,"",45,"",2,""
1214,201712,G405H,908,"",60,"",14,"",21,"",22,"",3,""
1215,201801,G405H,959,"",99,"",16,"",37,"",44,"",2,""
1216,201802,G405H,964,"",93,"",15,"",35,"",20,"",23,""
1217,201803,G405H,1039,"",137,"",14,"",39,"",56,"",28,""
1218,201804,G405H,922,"",70,"",12,"",30,"",25,"",3,""
1219,201805,G405H,1069,"",84,"",13,"",37,"",26,"",8,""
1220,201806,G405H,941,"",67,"",16,"",36,"",15,"",0,""
1221,201807,G405H,951,"",86,"",28,"",36,"",22,"",0,""
1222,201808,G405H,1157,"",80,"",19,"",31,"",29,"",1,""
1223,201809,G405H,1001,"",79,"",23,"",32,"",22,"",2,""
1224,201810,G405H,1109,"",85,"",15,"",37,"",30,"",3,""
1225,201811,G405H,926,"",144,"",7,"",25,"",112,"",0,""
1226,201812,G405H,823,"",67,"",8,"",33,"",26,"",0,""
1227,201901,G405H,989,"",91,"",18,"",38,"",32,"",3,""
1228,201902,G405H,1055,"",76,"",13,"",44,"",17,"",2,""
1229,201903,G405H,1108,"",81,"",17,"",39,"",25,"",0,""
1230,201904,G405H,1004,"",79,"",16,"",40,"",22,"",1,""
1231,201905,G405H,1037,"",70,"",14,"",38,"",17,"",1,""
1232,201906,G405H,1028,"",77,"",15,"",34,"",27,"",1,""
1233,201907,G405H,1043,"",73,"",16,"",36,"",21,"",0,""
1234,201908,G405H,1061,"",56,"",10,"",35,"",11,"",0,""
1235,201909,G405H,1080,"",90,"",17,"",49,"",23,"",1,""
1236,201910,G405H,1069,"",85,"",17,"",35,"",32,"",1,""
1237,201911,G405H,1038,"",69,"",16,"",31,"",15,"",7,""
1238,201912,G405H,808,"",71,"",7,"",29,"",34,"",1,""
1239,202001,G405H,865,"",74,"",15,"",32,"",23,"",4,""
1240,202002,G405H,1002,"",56,"",15,"",20,"",15,"",6,""
1241,202003,G405H,674,"",75,"",16,"",37,"",22,"",0,""
1242,202004,G405H,161,"",20,"",2,"",12,"",6,"",0,""
1243,202005,G405H,213,"",13,"",2,"",8,"",3,"",0,""
1244,202006,G405H,376,"",26,"",2,"",20,"",4,"",0,""
1245,202007,G405H,484,"",36,"",2,"",23,"",11,"",0,""
1246,202008,G405H,540,"",50,"",5,"",37,"",8,"",0,""
1247,202009,G405H,730,"",48,"",5,"",23,"",20,"",0,""
1248,202010,G405H,647,"",38,"",3,"",15,"",20,"",0,""
1249,202011,G405H,653,"",53,"",6,"",8,"",37,"",2,""
1250,202012,G405H,694,"",58,"",8,"",37,"",13,"",0,""
1251,202101,G405H,482,"",21,"",2,"",9,"",10,"",0,""
1252,202102,G405H,435,"",30,"",2,"",10,"",18,"",0,""
1253,202103,G405H,721,"",50,"",4,"",23,"",23,"",0,""
1254,202104,G405H,726,"",55,"",7,"",27,"",21,"",0,""
1255,202105,G405H,772,"",43,"",3,"",19,"",17,"",4,""
1256,202106,G405H,930,"",73,"",6,"",33,"",34,"",0,""
1257,202107,G405H,754,"",58,"",8,"",19,"",31,"",0,""
1258,202108,G405H,784,"",46,"",5,"",23,"",14,"",4,""
1259,202109,G405H,440,"",33,"",5,"",13,"",13,"",2,""
1260,202110,G405H,433,"",29,"",4,"",17,"",8,"",0,""
1261,202111,G405H,508,"",26,"",3,"",8,"",15,"",0,""
1262,202112,G405H,607,"",48,"",8,"",19,"",16,"",5,""
1263,202201,G405H,481,"",30,"",0,"",10,"",20,"",0,""
1264,202202,G405H,599,"",42,"",3,"",17,"",22,"",0,""
1265,202203,G405H,611,"",43,"",5,"",20,"",17,"",1,""
1266,202204,G405H,504,"",43,"",7,"",14,"",22,"",0,""
1267,202205,G405H,615,"",34,"",3,"",16,"",15,"",0,""
1268,202206,G405H,606,"",51,"",5,"",19,"",26,"",1,""
1269,202207,G405H,596,"",43,"",5,"",21,"",16,"",1,""
1270,202208,G405H,722,"",56,"",6,"",26,"",24,"",0,""
1271,202209,G405H,776,"",70,"",12,"",35,"",23,"",0,""
1272,202210,G405H,743,"",50,"",3,"",23,"",24,"",0,""
1273,202211,G405H,798,"",55,"",9,"",19,"",26,"",1,""
1274,202212,G405H,657,"",72,"",18,"",23,"",29,"",2,""
1275,201505,G513H,837,"",63,"",26,"",27,"",10,"",0,""
1276,201506,G513H,570,"",46,"",12,"",27,"",7,"",0,""
1277,201507,G513H,678,"",42,"",22,"",16,"",3,"",1,""
1278,201508,G513H,727,"",67,"",25,"",33,"",9,"",0,""
1279,201509,G513H,943,"",78,"",28,"",31,"",17,"",2,""
1280,201510,G513H,1000,"",89,"",39,"",40,"",10,"",0,""
1281,201511,G513H,1007,"",107,"",33,"",55,"",18,"",1,""
1282,201512,G513H,831,"",112,"",45,"",50,"",15,"",2,""
1283,201601,G513H,800,"",90,"",33,"",46,"",11,"",0,""
1284,201602,G513H,894,"",96,"",39,"",34,"",20,"",3,""
1285,201603,G513H,829,"",100,"",34,"",39,"",26,"",1,""
1286,201604,G513H,815,"",77,"",22,"",38,"",17,"",0,""
1287,201605,G513H,826,"",67,"",21,"",38,"",8,"",0,""
1288,201606,G513H,945,"",90,"",30,"",42,"",18,"",0,""
1289,201607,G513H,798,"",65,"",27,"",29,"",9,"",0,""
1290,201608,G513H,939,"",82,"",43,"",30,"",9,"",0,""
1291,201609,G513H,854,"",75,"",25,"",36,"",13,"",1,""
1292,201610,G513H,872,"",74,"",26,"",30,"",18,"",0,""
1293,201611,G513H,851,"",80,"",29,"",38,"",7,"",6,""
1294,201612,G513H,790,"",95,"",45,"",39,"",5,"",6,""
1295,201701,G513H,763,"",67,"",19,"",31,"",14,"",3,""
1296,201702,G513H,749,"",66,"",22,"",30,"",14,"",0,""
1297,201703,G513H,853,"",68,"",21,"",39,"",8,"",0,""
1298,201704,G513H,675,"",75,"",22,"",29,"",24,"",0,""
1299,201705,G513H,808,"",60,"",16,"",29,"",15,"",0,""
1300,201706,G513H,789,"",58,"",23,"",25,"",10,"",0,""
1301,201707,G513H,725,"",56,"",20,"",22,"",14,"",0,""
1302,201708,G513H,772,"",66,"",15,"",25,"",26,"",0,""
1303,201709,G513H,706,"",55,"",20,"",22,"",13,"",0,""
1304,201710,G513H,771,"",66,"",11,"",30,"",14,"",11,""
1305,201711,G513H,806,"",62,"",19,"",27,"",15,"",1,""
1306,201712,G513H,753,"",86,"",27,"",42,"",17,"",0,""
1307,201801,G513H,860,"",81,"",35,"",39,"",6,"",1,""
1308,201802,G513H,822,"",77,"",21,"",38,"",10,"",8,""
1309,201803,G513H,899,"",84,"",22,"",37,"",12,"",13,""
1310,201804,G513H,834,"",73,"",26,"",37,"",10,"",0,""
1311,201805,G513H,934,"",85,"",32,"",43,"",9,"",1,""
1312,201806,G513H,874,"",73,"",27,"",33,"",13,"",0,""
1313,201807,G513H,796,"",58,"",18,"",23,"",11,"",6,""
1314,201808,G513H,938,"",62,"",23,"",20,"",16,"",3,""
1315,201809,G513H,723,"",64,"",13,"",26,"",23,"",2,""
1316,201810,G513H,828,"",81,"",25,"",32,"",12,"",12,""
1317,201811,G513H,764,"",85,"",17,"",37,"",27,"",4,""
1318,201812,G513H,585,"",56,"",12,"",29,"",15,"",0,""
1319,201901,G513H,680,"",53,"",15,"",29,"",9,"",0,""
1320,201902,G513H,692,"",69,"",19,"",25,"",13,"",12,""
1321,201903,G513H,742,"",72,"",24,"",21,"",14,"",13,""
1322,201904,G513H,544,"",46,"",17,"",15,"",14,"",0,""
1323,201905,G513H,677,"",55,"",15,"",21,"",17,"",2,""
1324,201906,G513H,551,"",48,"",11,"",12,"",24,"",1,""
1325,201907,G513H,594,"",35,"",13,"",14,"",6,"",2,""
1326,201908,G513H,647,"",35,"",12,"",15,"",4,"",4,""
1327,201909,G513H,615,"",47,"",13,"",18,"",16,"",0,""
1328,201910,G513H,673,"",62,"",19,"",30,"",13,"",0,""
1329,201911,G513H,760,"",81,"",21,"",37,"",23,"",0,""
1330,201912,G513H,744,"",91,"",25,"",42,"",23,"",1,""
1331,202001,G513H,898,"",91,"",37,"",35,"",17,"",2,""
1332,202002,G513H,897,"",77,"",20,"",37,"",19,"",1,""
1333,202003,G513H,632,"",92,"",22,"",43,"",23,"",4,""
1334,202004,G513H,30,"",4,"",0,"",2,"",2,"",0,""
1335,202005,G513H,56,"",3,"",0,"",2,"",1,"",0,""
1336,202006,G513H,144,"",5,"",1,"",2,"",2,"",0,""
1337,202007,G513H,176,"",6,"",0,"",4,"",2,"",0,""
1338,202008,G513H,305,"",12,"",3,"",7,"",2,"",0,""
1339,202009,G513H,465,"",18,"",2,"",12,"",4,"",0,""
1340,202010,G513H,556,"",28,"",3,"",21,"",4,"",0,""
1341,202011,G513H,548,"",51,"",7,"",23,"",19,"",2,""
1342,202012,G513H,506,"",33,"",6,"",10,"",17,"",0,""
1343,202101,G513H,483,"",22,"",7,"",8,"",7,"",0,""
1344,202102,G513H,528,"",21,"",3,"",6,"",12,"",0,""
1345,202103,G513H,693,"",27,"",10,"",4,"",13,"",0,""
1346,202104,G513H,581,"",26,"",3,"",19,"",4,"",0,""
1347,202105,G513H,522,"",39,"",7,"",15,"",17,"",0,""
1348,202106,G513H,592,"",37,"",10,"",14,"",13,"",0,""
1349,202107,G513H,584,"",35,"",8,"",16,"",11,"",0,""
1350,202108,G513H,479,"",40,"",4,"",19,"",17,"",0,""
1351,202109,G513H,508,"",64,"",5,"",20,"",35,"",4,""
1352,202110,G513H,243,"",35,"",3,"",11,"",21,"",0,""
1353,202111,G513H,445,"",35,"",8,"",17,"",8,"",2,""
1354,202112,G513H,410,"",61,"",5,"",28,"",27,"",1,""
1355,202201,G513H,450,"",46,"",8,"",13,"",25,"",0,""
1356,202202,G513H,413,"",52,"",3,"",16,"",33,"",0,""
1357,202203,G513H,444,"",56,"",4,"",11,"",41,"",0,""
1358,202204,G513H,378,"",52,"",8,"",9,"",35,"",0,""
1359,202205,G513H,413,"",71,"",2,"",7,"",60,"",2,""
1360,202206,G513H,360,"",51,"",4,"",13,"",33,"",1,""
1361,202207,G513H,399,"",46,"",6,"",8,"",31,"",1,""
1362,202208,G513H,497,"",38,"",4,"",12,"",22,"",0,""
1363,202209,G513H,495,"",60,"",6,"",11,"",41,"",2,""
1364,202210,G513H,519,"",46,"",9,"",21,"",16,"",0,""
1365,202211,G513H,504,"",52,"",6,"",21,"",21,"",4,""
1366,202212,G513H,483,"",61,"",13,"",28,"",19,"",1,""
1367,201505,G516H,1005,"",69,"",25,"",40,"",4,"",0,""
1368,201506,G516H,863,"",70,"",36,"",29,"",5,"",0,""
1369,201507,G516H,686,"",46,"",19,"",23,"",4,"",0,""
1370,201508,G516H,825,"",62,"",27,"",31,"",3,"",1,""
1371,201509,G516H,836,"",70,"",32,"",28,"",9,"",1,""
1372,201510,G516H,921,"",104,"",52,"",46,"",5,"",1,""
1373,201511,G516H,899,"",86,"",40,"",35,"",9,"",2,""
1374,201512,G516H,802,"",69,"",31,"",34,"",2,"",2,""
1375,201601,G516H,813,"",84,"",36,"",36,"",5,"",7,""
1376,201602,G516H,926,"",93,"",43,"",42,"",7,"",1,""
1377,201603,G516H,927,"",75,"",31,"",31,"",10,"",3,""
1378,201604,G516H,926,"",91,"",40,"",48,"",2,"",1,""
1379,201605,G516H,936,"",93,"",44,"",28,"",20,"",1,""
1380,201606,G516H,961,"",97,"",31,"",48,"",16,"",2,""
1381,201607,G516H,706,"",86,"",53,"",23,"",9,"",1,""
1382,201608,G516H,1008,"",121,"",39,"",54,"",14,"",14,""
1383,201609,G516H,913,"",85,"",39,"",37,"",9,"",0,""
1384,201610,G516H,880,"",109,"",39,"",28,"",21,"",21,""
1385,201611,G516H,1024,"",101,"",35,"",44,"",11,"",11,""
1386,201612,G516H,810,"",93,"",42,"",40,"",8,"",3,""
1387,201701,G516H,871,"",64,"",24,"",32,"",5,"",3,""
1388,201702,G516H,890,"",97,"",39,"",47,"",9,"",2,""
1389,201703,G516H,959,"",81,"",37,"",35,"",9,"",0,""
1390,201704,G516H,718,"",82,"",40,"",35,"",6,"",1,""
1391,201705,G516H,855,"",96,"",44,"",47,"",5,"",0,""
1392,201706,G516H,874,"",94,"",52,"",34,"",6,"",2,""
1393,201707,G516H,702,"",63,"",29,"",30,"",2,"",2,""
1394,201708,G516H,879,"",72,"",44,"",24,"",4,"",0,""
1395,201709,G516H,828,"",82,"",28,"",31,"",8,"",15,""
1396,201710,G516H,797,"",58,"",24,"",26,"",7,"",1,""
1397,201711,G516H,951,"",79,"",27,"",34,"",11,"",7,""
1398,201712,G516H,749,"",91,"",38,"",28,"",19,"",6,""
1399,201801,G516H,861,"",79,"",34,"",32,"",9,"",4,""
1400,201802,G516H,814,"",77,"",26,"",26,"",9,"",16,""
1401,201803,G516H,815,"",104,"",21,"",15,"",11,"",57,""
1402,201804,G516H,784,"",41,"",21,"",10,"",9,"",1,""
1403,201805,G516H,922,"",76,"",36,"",29,"",9,"",2,""
1404,201806,G516H,872,"",68,"",30,"",32,"",5,"",1,""
1405,201807,G516H,763,"",76,"",31,"",32,"",13,"",0,""
1406,201808,G516H,843,"",67,"",30,"",23,"",11,"",3,""
1407,201809,G516H,740,"",59,"",29,"",26,"",4,"",0,""
1408,201810,G516H,1004,"",96,"",32,"",51,"",7,"",6,""
1409,201811,G516H,762,"",126,"",23,"",27,"",71,"",5,""
1410,201812,G516H,684,"",63,"",19,"",36,"",8,"",0,""
1411,201901,G516H,883,"",80,"",31,"",35,"",12,"",2,""
1412,201902,G516H,800,"",59,"",27,"",26,"",5,"",1,""
1413,201903,G516H,888,"",57,"",22,"",28,"",7,"",0,""
1414,201904,G516H,768,"",69,"",32,"",27,"",10,"",0,""
1415,201905,G516H,821,"",49,"",22,"",23,"",3,"",1,""
1416,201906,G516H,776,"",67,"",29,"",28,"",10,"",0,""
1417,201907,G516H,676,"",62,"",23,"",28,"",9,"",2,""
1418,201908,G516H,873,"",73,"",32,"",28,"",10,"",3,""
1419,201909,G516H,969,"",86,"",29,"",52,"",5,"",0,""
1420,201910,G516H,969,"",86,"",30,"",37,"",4,"",15,""
1421,201911,G516H,1093,"",102,"",40,"",47,"",14,"",1,""
1422,201912,G516H,876,"",84,"",37,"",40,"",7,"",0,""
1423,202001,G516H,1117,"",117,"",51,"",47,"",14,"",5,""
1424,202002,G516H,1083,"",94,"",34,"",45,"",9,"",6,""
1425,202003,G516H,793,"",107,"",37,"",41,"",24,"",5,""
1426,202004,G516H,127,"",11,"",1,"",9,"",1,"",0,""
1427,202005,G516H,129,"",9,"",0,"",7,"",2,"",0,""
1428,202006,G516H,255,"",15,"",0,"",10,"",5,"",0,""
1429,202007,G516H,332,"",8,"",3,"",2,"",3,"",0,""
1430,202008,G516H,375,"",19,"",3,"",12,"",4,"",0,""
1431,202009,G516H,466,"",29,"",5,"",16,"",5,"",3,""
1432,202010,G516H,432,"",26,"",3,"",12,"",11,"",0,""
1433,202011,G516H,436,"",29,"",3,"",9,"",17,"",0,""
1434,202012,G516H,436,"",22,"",2,"",12,"",8,"",0,""
1435,202101,G516H,260,"",24,"",2,"",13,"",6,"",3,""
1436,202102,G516H,296,"",9,"",0,"",8,"",1,"",0,""
1437,202103,G516H,455,"",24,"",4,"",10,"",10,"",0,""
1438,202104,G516H,457,"",16,"",4,"",6,"",6,"",0,""
1439,202105,G516H,456,"",26,"",4,"",11,"",9,"",2,""
1440,202106,G516H,543,"",21,"",5,"",8,"",7,"",1,""
1441,202107,G516H,516,"",21,"",5,"",8,"",7,"",1,""
1442,202108,G516H,507,"",30,"",7,"",14,"",9,"",0,""
1443,202109,G516H,298,"",14,"",2,"",3,"",9,"",0,""
1444,202110,G516H,386,"",26,"",4,"",11,"",11,"",0,""
1445,202111,G516H,527,"",27,"",5,"",11,"",10,"",1,""
1446,202112,G516H,487,"",33,"",5,"",22,"",6,"",0,""
1447,202201,G516H,462,"",38,"",7,"",10,"",20,"",1,""
1448,202202,G516H,580,"",36,"",6,"",15,"",15,"",0,""
1449,202203,G516H,539,"",45,"",6,"",20,"",17,"",2,""
1450,202204,G516H,477,"",43,"",12,"",16,"",15,"",0,""
1451,202205,G516H,631,"",44,"",12,"",22,"",8,"",2,""
1452,202206,G516H,599,"",40,"",8,"",22,"",9,"",1,""
1453,202207,G516H,573,"",48,"",16,"",16,"",16,"",0,""
1454,202208,G516H,728,"",45,"",9,"",20,"",12,"",4,""
1455,202209,G516H,677,"",54,"",14,"",27,"",10,"",3,""
1456,202210,G516H,682,"",70,"",20,"",31,"",18,"",1,""
1457,202211,G516H,647,"",60,"",19,"",28,"",11,"",2,""
1458,202212,G516H,568,"",46,"",19,"",17,"",7,"",3,""
1459,201505,H103H,208,"",19,"",10,"",8,"",1,"",0,""
1460,201506,H103H,225,"",17,"",11,"",4,"",2,"",0,""
1461,201507,H103H,235,"",25,"",12,"",11,"",2,"",0,""
1462,201508,H103H,178,"",21,"",8,"",4,"",9,"",0,""
1463,201509,H103H,235,"",30,"",15,"",13,"",2,"",0,""
1464,201510,H103H,272,"",42,"",22,"",12,"",8,"",0,""
1465,201511,H103H,200,"",27,"",19,"",7,"",1,"",0,""
1466,201512,H103H,191,"",27,"",14,"",9,"",4,"",0,""
1467,201601,H103H,179,"",15,"",9,"",6,"",0,"",0,""
1468,201602,H103H,121,"",23,"",7,"",15,"",1,"",0,""
